File_Name;Object_Name;Object_Id;IFC_Element;Outer_Radius;Inner_Radius;Pipe_Usage;Pipe_type;Material;Length;X_start;Y_start;Z_start;X_end;Y_end;Z_end;Project;Building;Floor;Room
Pipe_system;pipe;P65;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;41.60;238.70;506.50;0.00;238.70;548.10;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P66;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;54.50;223.90;503.00;0.00;223.90;557.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P67;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;7.80;235.10;500.00;0.00;235.10;507.80;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P68;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;5.70;238.70;498.60;0.00;238.70;504.30;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P69;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;18.90;242.00;497.30;0.00;242.00;516.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P70;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;45.80;146.60;491.20;0.00;146.60;537.00;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P71;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;12.60;230.00;490.90;0.00;230.00;503.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P72;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;3.30;233.40;490.40;0.00;233.40;493.70;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P73;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;68.90;208.10;488.60;0.00;208.10;557.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P74;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;73.40;153.50;484.10;0.00;153.50;557.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P75;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;12.60;240.30;483.80;0.00;240.30;496.40;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P76;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;5.30;230.10;483.00;0.00;230.10;488.30;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P77;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;74.50;150.10;483.00;0.00;150.10;557.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P78;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;8.20;146.60;481.80;0.00;146.60;490.00;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P79;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;24.50;143.10;480.60;0.00;143.10;505.10;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P80;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;82.10;158.40;475.40;0.00;158.40;557.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P81;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;7.20;144.90;472.70;0.00;144.90;479.90;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P82;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;43.20;236.80;451.90;0.00;236.80;495.10;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P83;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;37.90;148.30;440.80;0.00;148.30;478.70;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P84;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;68.80;233.40;420.40;0.00;233.40;489.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P85;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;68.60;151.80;408.90;0.00;151.80;477.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P86;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;89.30;230.10;392.40;0.00;230.10;481.70;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P87;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;2.40;275.60;381.60;0.00;275.60;384.00;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P88;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;3.30;276.10;380.10;0.00;276.10;383.40;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P89;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;99.40;155.30;377.00;0.00;155.30;476.40;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P90;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;3.80;276.90;376.90;0.00;276.90;380.70;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P91;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;3.10;276.00;371.40;0.00;276.00;374.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P92;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;3.10;260.40;369.30;0.00;260.40;372.40;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P93;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;4.20;266.70;366.80;0.00;266.70;371.00;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P94;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;4.20;259.70;366.80;0.00;259.70;371.00;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P95;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;22.40;253.50;350.00;0.00;253.50;372.40;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P96;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;31.30;245.30;321.80;0.00;245.30;353.10;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P97;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;132.40;241.90;245.00;0.00;241.90;377.40;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P98;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;9.80;221.30;235.90;0.00;221.30;245.70;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P99;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;6.70;227.00;230.50;0.00;227.00;237.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P100;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;7.50;228.70;227.10;0.00;228.70;234.60;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P101;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;13.60;230.50;223.60;0.00;230.50;237.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P102;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;15.60;233.90;218.70;0.00;233.90;234.30;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P103;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;22.00;232.20;215.20;0.00;232.20;237.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P104;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;29.30;293.20;189.90;0.00;293.20;219.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P105;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;37.60;197.50;189.90;0.00;197.50;227.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P106;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;25.90;261.30;189.80;0.00;261.30;215.70;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P107;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;34.30;229.10;189.80;0.00;229.10;224.10;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P108;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;41.20;167.20;189.80;0.00;167.20;231.00;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P109;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;2.40;559.10;74.10;0.00;559.10;76.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P110;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;8.50;250.50;551.20;0.00;259.00;551.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P111;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;8.50;241.80;551.20;0.00;250.30;551.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P112;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;4.30;237.30;551.20;0.00;241.60;551.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P113;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;26.30;122.90;540.00;0.00;149.20;540.00;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P114;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;18.30;240.80;519.40;0.00;259.10;519.40;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P115;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;22.80;123.00;508.20;0.00;145.80;508.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P116;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;7.00;222.10;503.20;0.00;229.10;503.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P117;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;6.20;228.20;501.20;0.00;234.40;501.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P118;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;2.90;234.80;499.80;0.00;237.70;499.80;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P119;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;3.40;231.20;499.80;0.00;234.60;499.80;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P120;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;2.70;228.20;498.50;0.00;230.90;498.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P121;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;10.20;231.10;498.50;0.00;241.30;498.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P122;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;14.80;228.20;497.10;0.00;243.00;497.10;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P123;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;2.70;228.20;495.80;0.00;230.90;495.80;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P124;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;8.50;231.10;495.80;0.00;239.60;495.80;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P125;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;19.00;550.70;499.00;0.00;569.70;499.00;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P126;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;5.40;230.70;494.40;0.00;236.10;494.40;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P127;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;4.40;228.20;493.10;0.00;232.60;493.10;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P128;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;19.00;550.60;493.20;0.00;569.60;493.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P129;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;5.60;210.40;492.30;0.00;216.00;492.30;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P130;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;4.40;605.30;490.30;0.00;609.70;490.30;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P131;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;5.10;597.10;490.30;0.00;602.20;490.30;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P132;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;4.70;573.00;490.30;0.00;577.70;490.30;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P133;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;4.70;582.40;490.30;0.00;587.10;490.30;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P134;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;3.10;582.50;488.50;0.00;585.60;488.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P135;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;4.80;572.90;488.60;0.00;577.70;488.60;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P136;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;16.60;242.40;487.40;0.00;259.00;487.40;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P137;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;4.70;582.40;486.70;0.00;587.10;486.70;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P138;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;18.90;550.70;490.50;0.00;569.60;490.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P139;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;5.10;597.10;486.80;0.00;602.20;486.80;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P140;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;4.80;572.80;486.70;0.00;577.60;486.70;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P141;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;5.70;152.30;484.00;0.00;158.00;484.00;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P142;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;9.20;148.80;482.90;0.00;158.00;482.90;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P143;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;12.60;145.40;481.70;0.00;158.00;481.70;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P144;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;14.40;143.60;480.50;0.00;158.00;480.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P145;IfcPipeSegment;0.15;0.14;cold;Heating;stainless steel;10.90;147.00;479.20;0.00;157.90;479.20;0.00;Excel-IFC-Translater;OTH;3;G201
