File_Name;Object_Name;Object_Id;IFC_Element;Diameter;Elevation;Pipe_Usage;Pipe_type;Xmin;Ymin;Xmax;Ymax;Project;Building;Floor;Room
MA_TGA;pipe;P104;IfcFlowElement;300;0;hot;Heating;2932;1899;2932;2192;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P105;IfcFlowElement;300;0;hot;Heating;1975;1899;1975;2275;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P106;IfcFlowElement;300;0;hot;Heating;2613;1898;2613;2157;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P107;IfcFlowElement;300;0;hot;Heating;2291;1898;2291;2241;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P108;IfcFlowElement;300;0;hot;Heating;1672;1898;1672;2310;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P109;IfcFlowElement;300;0;hot;Heating;5591;741;5591;765;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P110;IfcFlowElement;300;0;cold;Heating;2505;5512;2590;5512;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P111;IfcFlowElement;300;0;cold;Heating;2418;5512;2503;5512;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P112;IfcFlowElement;300;0;cold;Heating;2373;5512;2416;5512;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P113;IfcFlowElement;300;0;cold;Heating;1229;5400;1492;5400;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P114;IfcFlowElement;300;0;cold;Heating;2408;5194;2591;5194;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P115;IfcFlowElement;300;0;cold;Heating;1230;5082;1458;5082;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P116;IfcFlowElement;300;0;cold;Heating;2221;5032;2291;5032;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P117;IfcFlowElement;300;0;cold;Heating;2282;5012;2344;5012;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P118;IfcFlowElement;300;0;cold;Heating;2348;4998;2377;4998;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P119;IfcFlowElement;300;0;cold;Heating;2312;4998;2346;4998;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P120;IfcFlowElement;300;0;cold;Heating;2282;4985;2309;4985;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P121;IfcFlowElement;300;0;cold;Heating;2311;4985;2413;4985;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P122;IfcFlowElement;300;0;cold;Heating;2282;4971;2430;4971;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P123;IfcFlowElement;300;0;cold;Heating;2282;4958;2309;4958;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P124;IfcFlowElement;300;0;cold;Heating;2311;4958;2396;4958;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P125;IfcFlowElement;300;0;cold;Heating;5507;4990;5697;4990;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P126;IfcFlowElement;300;0;cold;Heating;2307;4944;2361;4944;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P127;IfcFlowElement;300;0;cold;Heating;2282;4931;2326;4931;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P128;IfcFlowElement;300;0;cold;Heating;5506;4932;5696;4932;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P129;IfcFlowElement;300;0;cold;Heating;2104;4923;2160;4923;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P130;IfcFlowElement;300;0;cold;Heating;6053;4903;6097;4903;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P131;IfcFlowElement;300;0;cold;Heating;5971;4903;6022;4903;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P132;IfcFlowElement;300;0;cold;Heating;5730;4903;5777;4903;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P133;IfcFlowElement;300;0;cold;Heating;5824;4903;5871;4903;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P134;IfcFlowElement;300;0;cold;Heating;5825;4885;5856;4885;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P135;IfcFlowElement;300;0;cold;Heating;5729;4886;5777;4886;Excel-IFC-Translater;OTH;3;G201
