File_Name;Object;Object_Id;IFC_Element;Diameter;Material;Pipe_Color;Piping_type;H_V;Total_vertices;Xmin;Ymin;Xmax;Ymax;Project;Building;Floor;Room
TGA-Plan;pipe;LS81;IfcFlowElement;300;stainless steel;Red;Heating;V;4;1449;4727;1449;4799;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS82;IfcFlowElement;300;stainless steel;Red;Heating;V;5;2368;4519;2368;4951;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS83;IfcFlowElement;300;stainless steel;Red;Heating;V;5;1483;4408;1483;4787;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS84;IfcFlowElement;300;stainless steel;Red;Heating;V;8;2334;4204;2334;4892;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS85;IfcFlowElement;300;stainless steel;Red;Heating;V;4;1518;4089;1518;4775;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS86;IfcFlowElement;300;stainless steel;Red;Heating;V;4;2301;3924;2301;4817;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS87;IfcFlowElement;300;stainless steel;Red;Heating;V;2;2756;3816;2756;3840;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS88;IfcFlowElement;300;stainless steel;Red;Heating;V;11;2761;3801;2761;3834;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS89;IfcFlowElement;300;stainless steel;Red;Heating;V;5;1553;3770;1553;4764;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS90;IfcFlowElement;300;stainless steel;Red;Heating;V;8;2769;3769;2769;3807;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS91;IfcFlowElement;300;stainless steel;Red;Heating;V;9;2760;3714;2760;3745;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS92;IfcFlowElement;300;stainless steel;Red;Heating;V;6;2604;3693;2604;3724;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS93;IfcFlowElement;300;stainless steel;Red;Heating;V;16;2667;3668;2667;3710;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS94;IfcFlowElement;300;stainless steel;Red;Heating;V;17;2597;3668;2597;3710;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS95;IfcFlowElement;300;stainless steel;Red;Heating;V;4;2535;3500;2535;3724;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS96;IfcFlowElement;300;stainless steel;Red;Heating;V;10;2453;3218;2453;3531;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS97;IfcFlowElement;300;stainless steel;Red;Heating;V;4;2419;2450;2419;3774;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS98;IfcFlowElement;300;stainless steel;Red;Heating;V;13;2213;2359;2213;2457;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS99;IfcFlowElement;300;stainless steel;Red;Heating;V;4;2270;2305;2270;2372;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS100;IfcFlowElement;300;stainless steel;Red;Heating;V;6;2287;2271;2287;2346;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS101;IfcFlowElement;300;stainless steel;Red;Heating;V;4;2305;2236;2305;2372;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS102;IfcFlowElement;300;stainless steel;Red;Heating;V;6;2339;2187;2339;2343;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS103;IfcFlowElement;300;stainless steel;Red;Heating;V;4;2322;2152;2322;2372;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS104;IfcFlowElement;300;stainless steel;Red;Heating;V;6;2932;1899;2932;2192;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS105;IfcFlowElement;300;stainless steel;Red;Heating;V;4;1975;1899;1975;2275;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS106;IfcFlowElement;300;stainless steel;Red;Heating;V;4;2613;1898;2613;2157;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS107;IfcFlowElement;300;stainless steel;Red;Heating;V;4;2291;1898;2291;2241;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS108;IfcFlowElement;300;stainless steel;Red;Heating;V;4;1672;1898;1672;2310;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS109;IfcFlowElement;300;stainless steel;Red;Heating;V;2;5591;741;5591;765;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS110;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;2505;5512;2590;5512;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS111;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;2418;5512;2503;5512;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS112;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;2373;5512;2416;5512;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS113;IfcFlowElement;300;stainless steel;Blue;Heating;H;5;1229;5400;1492;5400;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS114;IfcFlowElement;300;stainless steel;Blue;Heating;H;3;2408;5194;2591;5194;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS115;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;1230;5082;1458;5082;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS116;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;2221;5032;2291;5032;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS117;IfcFlowElement;300;stainless steel;Blue;Heating;H;3;2282;5012;2344;5012;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS118;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;2348;4998;2377;4998;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS119;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;2312;4998;2346;4998;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS120;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;2282;4985;2309;4985;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS121;IfcFlowElement;300;stainless steel;Blue;Heating;H;6;2311;4985;2413;4985;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS122;IfcFlowElement;300;stainless steel;Blue;Heating;H;5,5;2282;4971;2430;4971;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS123;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;2282;4958;2309;4958;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS124;IfcFlowElement;300;stainless steel;Blue;Heating;H;3;2311;4958;2396;4958;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS125;IfcFlowElement;300;stainless steel;Blue;Heating;H;21,5;5507;4990;5697;4990;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS126;IfcFlowElement;300;stainless steel;Blue;Heating;H;3;2307;4944;2361;4944;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS127;IfcFlowElement;300;stainless steel;Blue;Heating;H;3;2282;4931;2326;4931;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS128;IfcFlowElement;300;stainless steel;Blue;Heating;H;2,5;5506;4932;5696;4932;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS129;IfcFlowElement;300;stainless steel;Blue;Heating;H;4;2104;4923;2160;4923;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS130;IfcFlowElement;300;stainless steel;Blue;Heating;H;4;6053;4903;6097;4903;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS131;IfcFlowElement;300;stainless steel;Blue;Heating;H;4;5971;4903;6022;4903;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS132;IfcFlowElement;300;stainless steel;Blue;Heating;H;6;5730;4903;5777;4903;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS133;IfcFlowElement;300;stainless steel;Blue;Heating;H;4,5;5824;4903;5871;4903;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS134;IfcFlowElement;300;stainless steel;Blue;Heating;H;2,5;5825;4885;5856;4885;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS135;IfcFlowElement;300;stainless steel;Blue;Heating;H;8,5;5729;4886;5777;4886;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS136;IfcFlowElement;300;stainless steel;Blue;Heating;H;8,5;2424;4874;2590;4874;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS137;IfcFlowElement;300;stainless steel;Blue;Heating;H;3,5;5824;4867;5871;4867;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS138;IfcFlowElement;300;stainless steel;Blue;Heating;H;20,5;5507;4905;5696;4905;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS139;IfcFlowElement;300;stainless steel;Blue;Heating;H;9,5;5971;4868;6022;4868;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS140;IfcFlowElement;300;stainless steel;Blue;Heating;H;8,5;5728;4867;5776;4867;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS141;IfcFlowElement;300;stainless steel;Blue;Heating;H;3;1523;4840;1580;4840;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS142;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;1488;4829;1580;4829;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS143;IfcFlowElement;300;stainless steel;Blue;Heating;H;5,5;1454;4817;1580;4817;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS144;IfcFlowElement;300;stainless steel;Blue;Heating;H;3,5;1436;4805;1580;4805;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS145;IfcFlowElement;300;stainless steel;Blue;Heating;H;8;1470;4792;1579;4792;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS146;IfcFlowElement;300;stainless steel;Blue;Heating;H;3;1506;4781;1580;4781;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS147;IfcFlowElement;300;stainless steel;Blue;Heating;H;2,5;1540;4770;1580;4770;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS148;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;1230;4764;1426;4764;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS149;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;2391;4556;2593;4556;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS150;IfcFlowElement;300;stainless steel;Blue;Heating;H;5,5;1230;4445;1476;4445;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS151;IfcFlowElement;300;stainless steel;Blue;Heating;H;4,5;2356;4240;2590;4240;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS152;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;1230;4126;1510;4126;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS153;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;2540;3960;2591;3960;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS154;IfcFlowElement;300;stainless steel;Blue;Heating;H;3,5;2321;3942;2545;3942;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS155;IfcFlowElement;300;stainless steel;Blue;Heating;H;7,5;1230;3807;1545;3807;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS156;IfcFlowElement;300;stainless steel;Blue;Heating;H;8;2675;3800;2755;3800;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS157;IfcFlowElement;300;stainless steel;Blue;Heating;H;4;2394;3797;2663;3797;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS158;IfcFlowElement;300;stainless steel;Blue;Heating;H;2,5;2520;3738;2749;3738;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS159;IfcFlowElement;300;stainless steel;Blue;Heating;H;2,5;2527;3502;2785;3502;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS160;IfcFlowElement;300;stainless steel;Blue;Heating;H;3;2520;3494;2550;3494;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS161;IfcFlowElement;300;stainless steel;Blue;Heating;H;2,5;2527;3485;2785;3485;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS162;IfcFlowElement;300;stainless steel;Blue;Heating;H;2,5;2313;2486;2399;2486;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS163;IfcFlowElement;300;stainless steel;Blue;Heating;H;2,5;2064;2485;2309;2485;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS164;IfcFlowElement;300;stainless steel;Blue;Heating;H;6,5;1562;2486;2053;2486;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS165;IfcFlowElement;300;stainless steel;Blue;Heating;H;13;2190;2353;2330;2353;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS166;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;1993;2327;2160;2327;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS167;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;1646;2327;1991;2327;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS168;IfcFlowElement;300;stainless steel;Blue;Heating;H;2;2260;2293;2290;2293;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS169;IfcFlowElement;300;stainless steel;Blue;Heating;H;4,5;1949;2293;2185;2293;Excel-IFC-Translater;OTH;3;G201
